DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
12/26/2006;00:00:01;50029;1.3133;1.3108;1.3087;1.3142
12/27/2006;00:00:01;84895;1.311;1.3122;1.3096;1.3179
12/28/2006;00:00:01;88972;1.3118;1.3144;1.3102;1.3203
12/29/2006;00:00:01;82729;1.3144;1.3195;1.3134;1.3208
01/01/2007;00:00:01;14504;1.3195;1.3213;1.3169;1.322
01/02/2007;00:00:01;97134;1.3214;1.3271;1.3211;1.3298
01/03/2007;00:00:01;114443;1.3273;1.3169;1.3143;1.3292
01/04/2007;00:00:01;102581;1.3168;1.3086;1.3072;1.3181
01/05/2007;00:00:01;91325;1.3084;1.3001;1.2979;1.3106
01/08/2007;00:00:01;81590;1.3;1.3036;1.2971;1.3042
01/09/2007;00:00:01;85755;1.3036;1.2994;1.2984;1.3054
01/10/2007;00:00:01;93318;1.2991;1.2936;1.2926;1.3002
01/11/2007;00:00:01;99990;1.2935;1.2892;1.2879;1.3017
01/12/2007;00:00:01;88823;1.2893;1.292;1.2865;1.2945
01/15/2007;00:00:01;76444;1.292;1.2931;1.2911;1.2958
01/16/2007;00:00:01;92363;1.2932;1.2917;1.2906;1.299
01/17/2007;00:00:01;81737;1.2918;1.2937;1.2896;1.2951
01/18/2007;00:00:01;93925;1.2936;1.2959;1.2894;1.2978
01/19/2007;00:00:01;79214;1.296;1.2949;1.2909;1.3002
01/22/2007;00:00:01;75033;1.295;1.2947;1.2918;1.2981
01/23/2007;00:00:01;87595;1.2949;1.302;1.2925;1.3045
01/24/2007;00:00:01;93002;1.3021;1.2962;1.2945;1.3037
01/25/2007;00:00:01;104879;1.2961;1.2934;1.2911;1.3003
01/26/2007;00:00:01;101792;1.2932;1.2915;1.2875;1.2941
01/29/2007;00:00:01;87939;1.2915;1.296;1.2894;1.2968
01/30/2007;00:00:01;84300;1.2961;1.2963;1.2941;1.2982
01/31/2007;00:00:01;89300;1.2959;1.3023;1.2922;1.3038
02/01/2007;00:00:01;76466;1.3023;1.3012;1.2999;1.304
02/02/2007;00:00:01;73100;1.3014;1.2961;1.2946;1.3066
02/05/2007;00:00:01;74768;1.2961;1.2932;1.2911;1.2969
02/06/2007;00:00:01;76928;1.2932;1.2983;1.2908;1.2993
02/07/2007;00:00:01;67400;1.2982;1.3022;1.2965;1.3025
02/08/2007;00:00:01;75312;1.3022;1.3035;1.2972;1.3044
02/09/2007;00:00:01;59889;1.3035;1.3008;1.298;1.3046
02/12/2007;00:00:01;79506;1.3008;1.2956;1.2938;1.3037
02/13/2007;00:00:01;80529;1.2957;1.3028;1.2949;1.3045
02/14/2007;00:00:01;90849;1.3026;1.3138;1.3022;1.3151
02/15/2007;00:00:01;101543;1.3137;1.3133;1.3114;1.3174
02/16/2007;00:00:01;84877;1.3134;1.3137;1.3091;1.3146
02/19/2007;00:00:01;69482;1.3136;1.315;1.3119;1.3164
02/20/2007;00:00:01;88677;1.3152;1.3146;1.3126;1.3191
02/21/2007;00:00:01;94792;1.3147;1.3137;1.3109;1.3167
02/22/2007;00:00:01;86002;1.3137;1.3122;1.3076;1.3143
02/23/2007;00:00:01;76913;1.3123;1.3164;1.3098;1.319
02/26/2007;00:00:01;88293;1.3166;1.3193;1.3147;1.3199
02/27/2007;00:00:01;114987;1.3194;1.3227;1.3156;1.3261
02/28/2007;00:00:01;112471;1.3229;1.3227;1.3176;1.3239
03/01/2007;00:00:01;104287;1.3226;1.3165;1.3153;1.3241
03/02/2007;00:00:01;98712;1.3168;1.3189;1.3139;1.3202
03/05/2007;00:00:01;141173;1.3189;1.3085;1.3069;1.3213
03/06/2007;00:00:01;113123;1.3083;1.3135;1.3076;1.3142
03/07/2007;00:00:01;92209;1.3135;1.3176;1.3104;1.3186
03/08/2007;00:00:01;88585;1.3177;1.3137;1.3114;1.3184
03/09/2007;00:00:01;73004;1.3136;1.3115;1.3083;1.3162
03/12/2007;00:00:01;93852;1.3119;1.3187;1.3104;1.3202
03/13/2007;00:00:01;87233;1.3186;1.3188;1.3153;1.3223
03/14/2007;00:00:01;94703;1.3187;1.3232;1.3175;1.3246
03/15/2007;00:00:01;91049;1.3233;1.3281;1.319;1.3282
03/16/2007;00:00:01;92729;1.328;1.3313;1.327;1.3341
03/19/2007;00:00:01;69684;1.3313;1.3294;1.3276;1.3326
03/20/2007;00:00:01;68617;1.3292;1.3314;1.3267;1.3324
03/21/2007;00:00:01;89415;1.3314;1.3397;1.3284;1.3412
03/22/2007;00:00:01;101298;1.3393;1.3328;1.3307;1.3403
03/26/2007;00:00:01;101733;1.3288;1.3327;1.3249;1.3348
03/27/2007;00:00:01;6740;1.33;1.3301;1.33;1.3303
03/28/2007;00:00:01;64114;1.3302;1.3307;1.3301;1.3377
03/29/2007;00:00:01;91821;1.3309;1.3329;1.3297;1.3354
03/30/2007;00:00:01;91502;1.3327;1.3354;1.3284;1.3391
04/02/2007;00:00:01;91669;1.3353;1.3367;1.3329;1.3384
04/03/2007;00:00:01;88313;1.3367;1.3323;1.3315;1.3383
04/04/2007;00:00:01;91416;1.3322;1.3373;1.3317;1.3382
04/05/2007;00:00:01;74585;1.3371;1.3422;1.3349;1.3442
04/06/2007;00:00:01;54145;1.3423;1.3384;1.336;1.3429
04/09/2007;00:00:01;63478;1.3384;1.3353;1.3335;1.3384
04/10/2007;00:00:01;93526;1.3353;1.3429;1.3346;1.3456
04/11/2007;00:00:01;86653;1.3427;1.3435;1.3404;1.3442
04/12/2007;00:00:01;98622;1.3435;1.3484;1.3428;1.3506
04/13/2007;00:00:01;93853;1.3485;1.3524;1.3477;1.3553
04/16/2007;00:00:01;65022;1.3524;1.3527;1.3519;1.3565
04/17/2007;00:00:01;100999;1.3527;1.3571;1.352;1.3597
